Abercombie,74645cfa-0938-4beb-a29a-d9d06d11b148
Aeropostale,3a1be9b6-f41d-4b6b-8b98-7f29237b0202
Agaci,175ad7a6-9681-4f3e-8ad1-810989f1df80
Aldo,60890669-98f5-4184-ad5b-c662a5d1186e
All Saints,96d42652-3f5b-400b-a838-f78ba287d672
American Apparel,64ad07c5-55a0-46fe-8838-f095bf1e16f3
American Eagle,d5a95a3d-a98b-48c5-81a1-9687ad5f09d4
Ann Taylor,3e2cc7db-e32c-4742-86c9-8ed3cb794bed
Anthropologie Today and Tomorrow,f6ee53c6-82f1-4f3b-a66a-9800755b052a
Ardene,54c24ffa-2d6a-4ee8-990a-87923596f4a4
Aritzia,7940da41-5d5d-4d8e-ae70-1d69bfe656a8
ASOS,05dbfb49-67e3-4ea8-a8fa-ad6bfe3e45b5
Banana Republic,4a24ee67-00e3-4f43-9ab7-ac941e24c573
Brandy Melville,2bfc9b15-61b4-48de-b12e-ede5558c4890
Burlington,33ed6913-1291-4ba0-9140-7a528fd8dbbf
Buttercup,ee8cd11c-8dc8-4ef9-86a5-a609296e0651
Cabi Clothing,47d38c3e-bc41-40f2-93d5-0958f0c954f4
Canvenders,ed976e29-2d7f-45ae-a528-c26b16e6eceb
Celebrity Pink,0eefd7d0-c47b-4a34-b483-25a7e9781266
Centropelle,1acc9195-3b92-421d-afa2-a6f54e953466
Charlotte Russe,87861e6e-6d10-4b16-9377-2cb9580efd73
Charming Charlie,765179a7-2e40-40b7-b571-1033747ade0c
Cheryl Parker,b09c3cef-0389-4216-afaa-47d354ac69d9
Chillibeans,30e59537-155a-4327-9dd3-267fbcb7fd08
Chinese Laundry,ee78a00a-440b-42b2-ad60-79a73c1eb121
Coco Boutique,41d90a68-296a-429e-93e0-923d2b459013
Cocoon Fashion Online,6c22d45d-bf5a-4202-b9bc-935e548972ef
Converse,23013c24-a2ee-4b37-b1a8-926f5bbd8308
Cotton on,dfcf8a5a-4894-4caa-9ce5-4251aa694544
David Yurman,5b25eeff-dbc7-4278-8291-28c7590af30e
Domino Dollhouse,98d470ef-585d-4a1b-90a1-4e9cfa345232
DSW,15e181b5-da0a-438b-992e-8964e306eb18
Evans,136f4401-5db8-41af-b5ab-622d5a14c057
Express,d3c38af8-8e9e-4e98-9832-334d8d0c386f
Forever21,551bb530-d4f3-4bec-b1ef-ae4ffa8f0f57
Francesca's,705fa013-d9b2-499b-8c22-5863f6dc6d0c
Free People,5f792ae0-4c30-432b-9f79-2440ff3a0ffb
French Connection,872306a9-2e10-4969-812a-eed6e0d76061
Gap,19e343c4-9b46-407c-ae09-81158db4bba6
Garage,3928ec7e-c2f9-42a1-8c1f-bc05eecf0769
Goodwill,6e86a2fb-9ba6-4ffd-b42d-4c51409f5dd1
H&M,eeb4a87c-863d-4337-a708-f417a832fc72
Hollister,bb6505c5-366f-41a7-bbd7-25b4177691aa
Hunter,4a41c218-f5ad-4b9d-9071-546b564d9559
J.Crew,216ea3d8-6a60-46c2-af3f-f002986e0acc
JC Penny,2d3ba98a-615b-40cd-9528-f40a25c8ddfc
Jeffrey Campbell,dd8466f3-1358-48c2-88ef-bb30f696a2c7
Jewels Inc,a3f0fe0e-edd8-4da7-a02e-df4be886e5c4
jouetie,1675a215-4ec2-4712-bb31-623b513234df
Juicy Couture,c403f0de-cbfc-473b-a6ad-a069446ae11d
KendraScott,3d8b19a6-c1c1-4ea3-ba0b-56905a0b1943
Kenneth Cole,c3dd700a-5729-4211-be09-461f39a0a6d3
La Notte,943f49c3-1c39-446b-94c4-103f65626cbd
Lane Bryant,63569e59-7b60-4ad6-b921-f5637de2bc68
Lanvin,f7efbf6a-e387-4357-b6b9-5385fb303f11
Levi,c6482412-d7b0-4753-aeab-93fa91824e0d
Lilly Pulitzer,7e1eb98d-9556-4952-a10a-45e1a4ef8ce4
LL Bean,bd875d74-3f82-4cfc-810f-efffc2974fbc
Loft Girl,396aea6f-1b4d-4d1e-8729-c746fe51acbd
Love Culture,493aef80-8921-475f-ac5c-968bd8bd99b8
Maje,3e1e1d9a-a8af-4692-b749-6523e6dda336
Meister,709fafae-01c2-481d-98f9-1b647e545b6e
Michael Kors,ad60c7e8-87cb-445c-995f-a919325c13b8
MissSixty,d673f489-8e71-4990-981f-ac27686b1d81
MIuMiu,31d84d66-53d8-432f-99cc-1ab0ed06b8ed
Nasty Gal,32698bdb-c9ab-406e-96a0-04061b7c5282
New York & Company,b199c423-57da-49cb-8899-99495ecd5c20
Newlook,9702e827-f73b-4fc2-beb2-ac39655744bb
Nica,84f9f4eb-3524-40e6-830a-48007a4b1eae
Nike,c2a86a42-5b75-4569-90a0-1374d565bb48
Nine West,eb68f058-112b-4387-80ba-faab4f68b39e
Nordstrom,a4348b21-464b-497b-9a23-8c2573727e02
NY and Company,99f6d80e-6e89-4fb1-849e-0f780dd0248b
Oasis,1e39571a-2f76-4647-8d68-f290db3385f5
Old Navy,4dcba2a8-6658-4337-a64f-4aa0d2db5d1e
Piperlime,d6204753-e642-4d80-ab6e-87043b07fc7d
Platos Closet,72a89244-a59a-4072-a055-4dd21d586548
Primark,8d8ab072-29b4-4e91-bd99-0d23a0b0ac7d
Quiz,743ef9d1-4714-4a76-ad09-377fa0f209c7
Ralph Lauren,ed561c25-48ec-42af-8eb0-4df57d216ff5
Reflections,0462e12f-e938-4353-9576-a64817c75bf2
Romwe,9f2a33fe-55d4-4865-b8f5-23dda5aef596
Ross,a600d24c-2634-463b-ba85-ebc2bb208cb9
Rue21,7694bd02-f31c-4b73-af3b-9021bb0857c8
Scarf-Shop,9cade953-8335-440f-85a6-8d02c2c6996d
Sheinside,e7ff00b8-5b22-4aff-9c98-9b888334b1a1
Shoe Dazzle,e4154672-b5ca-42a8-9b62-63094572230b
Snidel,6fbfd65c-b22e-4cb0-95cf-cd4fdf45ae86
Steve Madden,d536c90b-850c-4bd1-9100-292699aa5a75
Tieks,a80be47e-92b5-4c7f-ae38-142e808cad01
Topshop,072b65ca-b57d-42a5-a0a8-d5f1e7caed1c
Torrid Fashion,151be4c1-9eaa-49e4-99b5-5780080b8d20
Tory Burch,dc6c2d2a-3fda-4bfe-9c1e-74d012d69abb
Trollbeads,f8d9cff7-f44e-4b44-a54e-559da77a593c
Tuk Footwear,ea16dc5d-5328-4430-9a48-bc64404033c0
Uggs,31878628-59a5-47db-aab4-f94726fb74b0
Urban Behavior,5994c08f-82fb-41e8-a368-dd3ce92d4c20
Urban Outfitters,bd5fd0c0-5568-4387-9310-814cab9111a9
Vans,8a32687e-7bf5-4fd1-a620-f8662f7c93c9
Victoria McCoy,d58d95a5-d42e-470b-b95d-0bd47cb010c1
Victoria Secrets,e3f6f5bd-4eda-461e-880f-130990500753
Vigoss USA,98c6adc8-9ca4-4fa5-a1d8-1a48001ea599
Vineyard Vines,d1a803f2-03fd-4472-9b0d-0732544a3005
Zara,7ce936b4-e849-4e78-b112-2525ccbf2035
Zellers,e27591c7-4668-4ced-b85a-546770535193
